row,col,x_grid,y_grid,density
0,0,0.5,0.5,0.0
0,1,1.5,0.5,0.0
0,2,2.5,0.5,0.0
0,3,3.5,0.5,0.0
0,4,4.5,0.5,0.0
0,5,5.5,0.5,0.0
0,6,6.5,0.5,0.0
0,7,7.5,0.5,1.1405147385969828e-08
0,8,8.5,0.5,8.571865738756692e-07
0,9,9.5,0.5,1.3701575033740347e-05
0,10,10.5,0.5,0.00010427264320359147
0,11,11.5,0.5,0.0003756427617739694
0,12,12.5,0.5,0.0006527269641959968
0,13,13.5,0.5,0.0005727312391006743
0,14,14.5,0.5,0.000265931071312285
0,15,15.5,0.5,6.65635411556215e-05
0,16,16.5,0.5,8.963524556143148e-06
0,17,17.5,0.5,6.343360698672746e-07
0,18,18.5,0.5,1.7107721078954744e-08
0,19,19.5,0.5,0.0
0,20,20.5,0.5,0.0
0,21,21.5,0.5,0.0
0,22,22.5,0.5,0.0
0,23,23.5,0.5,0.0
0,24,24.5,0.5,0.0
0,25,25.5,0.5,0.0
0,26,26.5,0.5,0.0
0,27,27.5,0.5,0.0
0,28,28.5,0.5,0.0
0,29,29.5,0.5,0.0
0,30,30.5,0.5,0.0
0,31,31.5,0.5,0.0
0,32,32.5,0.5,0.0
0,33,33.5,0.5,0.0
0,34,34.5,0.5,0.0
0,35,35.5,0.5,0.0
0,36,36.5,0.5,0.0
0,37,37.5,0.5,0.0
0,38,38.5,0.5,0.0
0,39,39.5,0.5,0.0
1,0,0.5,1.5,0.0
1,1,1.5,1.5,0.0
1,2,2.5,1.5,0.0
1,3,3.5,1.5,0.0
1,4,4.5,1.5,0.0
1,5,5.5,1.5,0.0
1,6,6.5,1.5,0.0
1,7,7.5,1.5,2.0574278292943996e-07
1,8,8.5,1.5,8.589655359688094e-06
1,9,9.5,1.5,0.0001197346085027521
1,10,10.5,1.5,0.0008401459555761184
1,11,11.5,1.5,0.0029052473427716064
1,12,12.5,1.5,0.0049713780008856815
1,13,13.5,1.5,0.00439337351254064
1,14,14.5,1.5,0.0021291626174303126
1,15,15.5,1.5,0.0005911965641238051
1,16,16.5,1.5,9.558009155494038e-05
1,17,17.5,1.5,8.815543688834408e-06
1,18,18.5,1.5,4.114855658588799e-07
1,19,19.5,1.5,5.702573692984914e-09
1,20,20.5,1.5,0.0
1,21,21.5,1.5,0.0
1,22,22.5,1.5,0.0
1,23,23.5,1.5,0.0
1,24,24.5,1.5,0.0
1,25,25.5,1.5,0.0
1,26,26.5,1.5,0.0
1,27,27.5,1.5,0.0
1,28,28.5,1.5,0.0
1,29,29.5,1.5,0.0
1,30,30.5,1.5,0.0
1,31,31.5,1.5,0.0
1,32,32.5,1.5,0.0
1,33,33.5,1.5,0.0
1,34,34.5,1.5,0.0
1,35,35.5,1.5,0.0
1,36,36.5,1.5,0.0
1,37,37.5,1.5,0.0
1,38,38.5,1.5,0.0
1,39,39.5,1.5,0.0
2,0,0.5,2.5,0.0
2,1,1.5,2.5,0.0
2,2,2.5,2.5,0.0
2,3,3.5,2.5,0.0
2,4,4.5,2.5,0.0
2,5,5.5,2.5,0.0
2,6,6.5,2.5,0.0
2,7,7.5,2.5,1.6241541960633019e-06
2,8,8.5,2.5,4.6244935174127806e-05
2,9,9.5,2.5,0.0005454020365591138
2,10,10.5,2.5,0.003366442834402034
2,11,11.5,2.5,0.010786696295960773
2,12,12.5,2.5,0.017889979578569012
2,13,13.5,2.5,0.01604086946961887
2,14,14.5,2.5,0.008450501706508703
2,15,15.5,2.5,0.0027892398670913486
2,16,16.5,2.5,0.0005719133194296783
2,17,17.5,2.5,6.863779819514903e-05
2,18,18.5,2.5,4.4977191759269945e-06
2,19,19.5,2.5,1.1427653885068982e-07
2,20,20.5,2.5,0.0
2,21,21.5,2.5,0.0
2,22,22.5,2.5,0.0
2,23,23.5,2.5,0.0
2,24,24.5,2.5,0.0
2,25,25.5,2.5,0.0
2,26,26.5,2.5,0.0
2,27,27.5,2.5,0.0
2,28,28.5,2.5,0.0
2,29,29.5,2.5,0.0
2,30,30.5,2.5,0.0
2,31,31.5,2.5,0.0
2,32,32.5,2.5,0.0
2,33,33.5,2.5,0.0
2,34,34.5,2.5,0.0
2,35,35.5,2.5,0.0
2,36,36.5,2.5,0.0
2,37,37.5,2.5,0.0
2,38,38.5,2.5,0.0
2,39,39.5,2.5,0.0
3,0,0.5,3.5,0.0
3,1,1.5,3.5,0.0
3,2,2.5,3.5,0.0
3,3,3.5,3.5,0.0
3,4,4.5,3.5,0.0
3,5,5.5,3.5,0.0
3,6,6.5,3.5,0.0
3,7,7.5,3.5,5.6105940603263366e-06
3,8,8.5,3.5,0.00012767425507199197
3,9,9.5,3.5,0.0012890692379735333
3,10,10.5,3.5,0.006766417568504873
3,11,11.5,3.5,0.01915537853532567
3,12,12.5,3.5,0.02991774390619234
3,13,13.5,3.5,0.027574837168149607
3,14,14.5,3.5,0.016918072539255133
3,15,15.5,3.5,0.0072348705607181395
3,16,16.5,3.5,0.0019832883804952127
3,17,17.5,3.5,0.000317609832451086
3,18,18.5,3.5,2.780553343009096e-05
3,19,19.5,3.5,1.0748456178909402e-06
3,20,20.5,3.5,0.0
3,21,21.5,3.5,0.0
3,22,22.5,3.5,0.0
3,23,23.5,3.5,0.0
3,24,24.5,3.5,0.0
3,25,25.5,3.5,0.0
3,26,26.5,3.5,0.0
3,27,27.5,3.5,0.0
3,28,28.5,3.5,0.0
3,29,29.5,3.5,0.0
3,30,30.5,3.5,0.0
3,31,31.5,3.5,0.0
3,32,32.5,3.5,0.0
3,33,33.5,3.5,0.0
3,34,34.5,3.5,0.0
3,35,35.5,3.5,0.0
3,36,36.5,3.5,0.0
3,37,37.5,3.5,0.0
3,38,38.5,3.5,0.0
3,39,39.5,3.5,0.0
4,0,0.5,4.5,0.0
4,1,1.5,4.5,0.0
4,2,2.5,4.5,0.0
4,3,3.5,4.5,0.0
4,4,4.5,4.5,0.0
4,5,5.5,4.5,0.0
4,6,6.5,4.5,0.0
4,7,7.5,4.5,8.481435766254804e-06
4,8,8.5,4.5,0.00017426181627851276
4,9,9.5,4.5,0.001599862057215853
4,10,10.5,4.5,0.007366432779695479
4,11,11.5,4.5,0.01821460481409965
4,12,12.5,4.5,0.026086023639000665
4,13,13.5,4.5,0.02505059677838736
4,14,14.5,4.5,0.019565728229860337
4,15,15.5,4.5,0.012026777291541115
4,16,16.5,4.5,0.0048007777400609795
4,17,17.5,4.5,0.001106500956452963
4,18,18.5,4.5,0.00014728550560092325
4,19,19.5,4.5,1.3154287001854755e-05
4,20,20.5,4.5,8.284486404197532e-07
4,21,21.5,4.5,3.99180158508944e-08
4,22,22.5,4.5,0.0
4,23,23.5,4.5,0.0
4,24,24.5,4.5,0.0
4,25,25.5,4.5,0.0
4,26,26.5,4.5,0.0
4,27,27.5,4.5,0.0
4,28,28.5,4.5,0.0
4,29,29.5,4.5,0.0
4,30,30.5,4.5,0.0
4,31,31.5,4.5,0.0
4,32,32.5,4.5,0.0
4,33,33.5,4.5,0.0
4,34,34.5,4.5,0.0
4,35,35.5,4.5,0.0
4,36,36.5,4.5,0.0
4,37,37.5,4.5,0.0
4,38,38.5,4.5,0.0
4,39,39.5,4.5,0.0
5,0,0.5,5.5,0.0
5,1,1.5,5.5,0.0
5,2,2.5,5.5,0.0
5,3,3.5,5.5,0.0
5,4,4.5,5.5,0.0
5,5,5.5,5.5,0.0
5,6,6.5,5.5,0.0
5,7,7.5,5.5,5.6105940603263366e-06
